query_id,tier,platform,iteration,cited,thegeolab_rank,retrieval_set_size,notes
T2-Q4,T2,chatgpt-gpt4o-mini,1,N,,2,
T2-Q5,T2,chatgpt-gpt4o-mini,1,N,,0,no-annotations
T1-Q1,T1,chatgpt-gpt4o-mini,2,Y,1,4,slug=/geo-stack/|/what-is-generative-engine-optimisation/|/thegeolab.net/
T1-Q2,T1,chatgpt-gpt4o-mini,2,N,,2,
T1-Q3,T1,chatgpt-gpt4o-mini,2,N,,4,
T1-Q4,T1,chatgpt-gpt4o-mini,2,Y,1,3,slug=/extractability/
T1-Q5,T1,chatgpt-gpt4o-mini,2,Y,1,8,slug=/thegeolab.net/|/about/|/?utm_source=chatgpt.com/|/console/|/about/|/console/|/ebooks/
T2-Q1,T2,chatgpt-gpt4o-mini,2,N,,2,
T2-Q2,T2,chatgpt-gpt4o-mini,2,N,,4,
T2-Q3,T2,chatgpt-gpt4o-mini,2,N,,6,
T2-Q4,T2,chatgpt-gpt4o-mini,2,N,,3,
T2-Q5,T2,chatgpt-gpt4o-mini,2,N,,0,no-annotations
T1-Q1,T1,chatgpt-gpt4o-mini,3,Y,2,4,slug=/geo-stack/|/what-is-generative-engine-optimisation/
T1-Q2,T1,chatgpt-gpt4o-mini,3,N,,2,
T1-Q3,T1,chatgpt-gpt4o-mini,3,Y,4,5,slug=/what-is-citation-share-of-voice/
T1-Q4,T1,chatgpt-gpt4o-mini,3,Y,1,1,slug=/extractability/
T1-Q5,T1,chatgpt-gpt4o-mini,3,Y,1,2,slug=/about/|/?utm_source=chatgpt.com/
T2-Q1,T2,chatgpt-gpt4o-mini,3,N,,2,
T2-Q2,T2,chatgpt-gpt4o-mini,3,N,,3,
T2-Q3,T2,chatgpt-gpt4o-mini,3,N,,7,
T2-Q4,T2,chatgpt-gpt4o-mini,3,N,,3,
T2-Q5,T2,chatgpt-gpt4o-mini,3,Y,4,4,slug=/geo-vs-seo/
T1-Q1,T1,chatgpt-gpt4o-mini,4,Y,1,2,slug=/geo-stack/|/what-is-generative-engine-optimisation/
T1-Q2,T1,chatgpt-gpt4o-mini,4,Y,1,2,slug=/retrieval-probability/
T1-Q3,T1,chatgpt-gpt4o-mini,4,Y,3,4,slug=/what-is-citation-share-of-voice/
T1-Q4,T1,chatgpt-gpt4o-mini,4,N,,0,no-annotations
T1-Q5,T1,chatgpt-gpt4o-mini,4,Y,1,3,slug=/about/|/?utm_source=chatgpt.com/|/console/
T2-Q1,T2,chatgpt-gpt4o-mini,4,N,,1,
T2-Q2,T2,chatgpt-gpt4o-mini,4,N,,3,
T2-Q3,T2,chatgpt-gpt4o-mini,4,N,,2,
T2-Q4,T2,chatgpt-gpt4o-mini,4,N,,5,
T2-Q5,T2,chatgpt-gpt4o-mini,4,N,,3,
T1-Q1,T1,chatgpt-gpt4o-mini,5,N,,1,
T1-Q2,T1,chatgpt-gpt4o-mini,5,N,,3,
T1-Q3,T1,chatgpt-gpt4o-mini,5,N,,3,
T1-Q4,T1,chatgpt-gpt4o-mini,5,Y,1,2,slug=/extractability/
T1-Q5,T1,chatgpt-gpt4o-mini,5,Y,1,2,slug=/?utm_source=chatgpt.com/|/about/
T2-Q1,T2,chatgpt-gpt4o-mini,5,N,,7,
T2-Q2,T2,chatgpt-gpt4o-mini,5,N,,4,
T2-Q3,T2,chatgpt-gpt4o-mini,5,N,,4,
T2-Q4,T2,chatgpt-gpt4o-mini,5,N,,2,
T2-Q5,T2,chatgpt-gpt4o-mini,5,N,,1,
T1-Q1,T1,google-aio,1,N,,0,type=ai_overview
T1-Q2,T1,google-aio,1,N,,0,type=ai_overview
T1-Q3,T1,google-aio,1,N,,0,type=ai_overview
T1-Q4,T1,google-aio,1,N,,0,type=ai_overview
T1-Q5,T1,google-aio,1,N,,0,no-aio
T2-Q1,T2,google-aio,1,N,,9,type=ai_overview
T2-Q2,T2,google-aio,1,N,,20,type=ai_overview
T2-Q3,T2,google-aio,1,N,,0,type=ai_overview
T2-Q4,T2,google-aio,1,N,,0,type=ai_overview
T2-Q5,T2,google-aio,1,N,,10,type=ai_overview
T1-Q1,T1,google-aio,2,N,,0,type=ai_overview
T1-Q2,T1,google-aio,2,N,,0,no-aio
T1-Q3,T1,google-aio,2,N,,0,type=ai_overview
T1-Q4,T1,google-aio,2,N,,0,type=ai_overview
T1-Q5,T1,google-aio,2,N,,0,no-aio
T2-Q1,T2,google-aio,2,N,,9,type=ai_overview
T2-Q2,T2,google-aio,2,N,,0,no-aio
T2-Q3,T2,google-aio,2,N,,0,type=ai_overview
T2-Q4,T2,google-aio,2,N,,0,type=ai_overview
T2-Q5,T2,google-aio,2,N,,10,type=ai_overview
T1-Q1,T1,google-aio,3,N,,0,type=ai_overview
T1-Q2,T1,google-aio,3,N,,0,type=ai_overview
T1-Q3,T1,google-aio,3,N,,0,type=ai_overview
T1-Q4,T1,google-aio,3,N,,0,type=ai_overview
T1-Q5,T1,google-aio,3,N,,0,no-aio
T2-Q1,T2,google-aio,3,N,,9,type=ai_overview
T2-Q2,T2,google-aio,3,N,,0,no-aio
T2-Q3,T2,google-aio,3,N,,0,type=ai_overview
T2-Q4,T2,google-aio,3,N,,0,type=ai_overview
T2-Q5,T2,google-aio,3,N,,10,type=ai_overview
T1-Q1,T1,google-aio,4,N,,0,type=ai_overview
T1-Q2,T1,google-aio,4,N,,0,type=ai_overview
T1-Q3,T1,google-aio,4,N,,0,type=ai_overview
T1-Q4,T1,google-aio,4,N,,0,type=ai_overview
T1-Q5,T1,google-aio,4,N,,0,no-aio
T2-Q1,T2,google-aio,4,N,,9,type=ai_overview
T2-Q2,T2,google-aio,4,N,,20,type=ai_overview
T2-Q3,T2,google-aio,4,N,,0,type=ai_overview
T2-Q4,T2,google-aio,4,N,,0,type=ai_overview
T2-Q5,T2,google-aio,4,N,,10,type=ai_overview
T1-Q1,T1,google-aio,5,N,,0,type=ai_overview
T1-Q2,T1,google-aio,5,N,,0,type=ai_overview
T1-Q3,T1,google-aio,5,N,,0,type=ai_overview
T1-Q4,T1,google-aio,5,N,,0,type=ai_overview
T1-Q5,T1,google-aio,5,N,,0,no-aio
T2-Q1,T2,google-aio,5,N,,9,type=ai_overview
T2-Q2,T2,google-aio,5,N,,20,type=ai_overview
T2-Q3,T2,google-aio,5,N,,0,type=ai_overview
T2-Q4,T2,google-aio,5,N,,0,no-aio
T2-Q5,T2,google-aio,5,N,,10,type=ai_overview
