query_id,tier,platform,iteration,cited,thegeolab_rank,retrieval_set_size,notes
T2-Q1,T2,chatgpt-gpt4o-mini,3,N,,0,no-annotations
T2-Q1,T2,chatgpt-gpt4o-mini,4,N,,0,no-annotations
T2-Q1,T2,chatgpt-gpt4o-mini,5,N,,0,no-annotations
T2-Q2,T2,chatgpt-gpt4o-mini,1,N,,0,no-annotations
T2-Q2,T2,chatgpt-gpt4o-mini,2,N,,0,no-annotations
T2-Q2,T2,chatgpt-gpt4o-mini,3,N,,0,no-annotations
T2-Q2,T2,chatgpt-gpt4o-mini,4,N,,0,no-annotations
T2-Q2,T2,chatgpt-gpt4o-mini,5,N,,0,no-annotations
T2-Q3,T2,chatgpt-gpt4o-mini,1,N,,0,no-annotations
T2-Q3,T2,chatgpt-gpt4o-mini,2,N,,0,no-annotations
T2-Q3,T2,chatgpt-gpt4o-mini,3,N,,0,no-annotations
T2-Q3,T2,chatgpt-gpt4o-mini,4,N,,0,no-annotations
T2-Q3,T2,chatgpt-gpt4o-mini,5,N,,0,no-annotations
T2-Q4,T2,chatgpt-gpt4o-mini,1,N,,0,no-annotations
T2-Q4,T2,chatgpt-gpt4o-mini,2,N,,0,no-annotations
T2-Q4,T2,chatgpt-gpt4o-mini,3,N,,0,no-annotations
T2-Q4,T2,chatgpt-gpt4o-mini,4,N,,0,no-annotations
T2-Q4,T2,chatgpt-gpt4o-mini,5,N,,0,no-annotations
T2-Q5,T2,chatgpt-gpt4o-mini,1,N,,0,no-annotations
T2-Q5,T2,chatgpt-gpt4o-mini,2,N,,0,no-annotations
T2-Q5,T2,chatgpt-gpt4o-mini,3,N,,0,no-annotations
T2-Q5,T2,chatgpt-gpt4o-mini,4,N,,0,no-annotations
T2-Q5,T2,chatgpt-gpt4o-mini,5,N,,0,no-annotations
T1-Q1,T1,google-aio,1,N,,0,type=ai_overview
T1-Q1,T1,google-aio,2,N,,0,type=ai_overview
T1-Q1,T1,google-aio,3,N,,0,type=ai_overview
T1-Q1,T1,google-aio,4,N,,0,type=ai_overview
T1-Q1,T1,google-aio,5,N,,0,type=ai_overview
T1-Q2,T1,google-aio,1,N,,0,type=ai_overview
T1-Q2,T1,google-aio,2,N,,0,type=ai_overview
T1-Q2,T1,google-aio,3,N,,0,type=ai_overview
T1-Q2,T1,google-aio,4,N,,0,type=ai_overview
T1-Q2,T1,google-aio,5,N,,0,type=ai_overview
T1-Q3,T1,google-aio,1,N,,0,type=ai_overview
T1-Q3,T1,google-aio,2,N,,0,type=ai_overview
T1-Q3,T1,google-aio,3,N,,0,type=ai_overview
T1-Q3,T1,google-aio,4,N,,1,type=featured_snippet
T1-Q3,T1,google-aio,5,N,,1,type=featured_snippet
T1-Q4,T1,google-aio,1,N,,0,type=ai_overview
T1-Q4,T1,google-aio,2,N,,0,type=ai_overview
T1-Q4,T1,google-aio,3,N,,0,type=ai_overview
T1-Q4,T1,google-aio,4,N,,0,type=ai_overview
T1-Q4,T1,google-aio,5,N,,0,type=ai_overview
T1-Q5,T1,google-aio,1,N,,0,no-aio (types:organic)
T1-Q5,T1,google-aio,2,N,,0,no-aio (types:organic)
T1-Q5,T1,google-aio,3,N,,0,no-aio (types:organic)
T1-Q5,T1,google-aio,4,N,,0,no-aio (types:organic)
T1-Q5,T1,google-aio,5,N,,0,no-aio (types:organic)
T2-Q1,T2,google-aio,1,N,,8,type=ai_overview
T2-Q1,T2,google-aio,2,N,,8,type=ai_overview
T2-Q1,T2,google-aio,3,N,,8,type=ai_overview
T2-Q1,T2,google-aio,4,N,,8,type=ai_overview
T2-Q1,T2,google-aio,5,N,,8,type=ai_overview
T2-Q2,T2,google-aio,1,N,,9,type=ai_overview
T2-Q2,T2,google-aio,2,N,,9,type=ai_overview
T2-Q2,T2,google-aio,3,N,,9,type=ai_overview
T2-Q2,T2,google-aio,4,N,,9,type=ai_overview
T2-Q2,T2,google-aio,5,N,,9,type=ai_overview
T2-Q3,T2,google-aio,1,N,,1,type=featured_snippet
T2-Q3,T2,google-aio,2,N,,0,type=ai_overview
T2-Q3,T2,google-aio,3,N,,0,type=ai_overview
T2-Q3,T2,google-aio,4,N,,0,type=ai_overview
T2-Q3,T2,google-aio,5,N,,0,type=ai_overview
T2-Q4,T2,google-aio,1,N,,0,type=ai_overview
T2-Q4,T2,google-aio,2,N,,1,type=featured_snippet
T2-Q4,T2,google-aio,3,N,,0,type=ai_overview
T2-Q4,T2,google-aio,4,N,,0,type=ai_overview
T2-Q4,T2,google-aio,5,N,,0,type=ai_overview
T2-Q5,T2,google-aio,1,N,,9,type=ai_overview
T2-Q5,T2,google-aio,2,N,,9,type=ai_overview
T2-Q5,T2,google-aio,3,N,,9,type=ai_overview
T2-Q5,T2,google-aio,4,N,,9,type=ai_overview
T2-Q5,T2,google-aio,5,N,,9,type=ai_overview
T1-Q1,T1,perplexity-sonar-pro,1,Y,6,6,slug=/geo-stack/
T1-Q1,T1,perplexity-sonar-pro,2,Y,6,6,slug=/geo-stack/
T1-Q1,T1,perplexity-sonar-pro,3,Y,6,6,slug=/geo-stack/
T1-Q1,T1,perplexity-sonar-pro,4,Y,6,6,slug=/geo-stack/
T1-Q1,T1,perplexity-sonar-pro,5,Y,6,6,slug=/geo-stack/
T1-Q2,T1,perplexity-sonar-pro,1,N,,7,
T1-Q2,T1,perplexity-sonar-pro,2,N,,7,
T1-Q2,T1,perplexity-sonar-pro,3,N,,7,
T1-Q2,T1,perplexity-sonar-pro,4,N,,7,
T1-Q2,T1,perplexity-sonar-pro,5,N,,7,
T1-Q3,T1,perplexity-sonar-pro,1,Y,4,8,slug=/e030-fan-out-length-citation-rate/
T1-Q3,T1,perplexity-sonar-pro,2,Y,4,8,slug=/e030-fan-out-length-citation-rate/
T1-Q3,T1,perplexity-sonar-pro,3,Y,4,8,slug=/e030-fan-out-length-citation-rate/
T1-Q3,T1,perplexity-sonar-pro,4,Y,4,8,slug=/e030-fan-out-length-citation-rate/
T1-Q3,T1,perplexity-sonar-pro,5,Y,4,8,slug=/e030-fan-out-length-citation-rate/
T1-Q4,T1,perplexity-sonar-pro,1,Y,7,8,slug=/extractability/
T1-Q4,T1,perplexity-sonar-pro,2,Y,7,8,slug=/extractability/
T1-Q4,T1,perplexity-sonar-pro,3,Y,8,9,slug=/extractability/
T1-Q4,T1,perplexity-sonar-pro,4,Y,7,8,slug=/extractability/
T1-Q4,T1,perplexity-sonar-pro,5,Y,8,9,slug=/extractability/
T1-Q5,T1,perplexity-sonar-pro,1,Y,1,6,slug=/about/
T1-Q5,T1,perplexity-sonar-pro,2,Y,1,6,slug=/about/
T1-Q5,T1,perplexity-sonar-pro,3,Y,1,6,slug=/about/
T1-Q5,T1,perplexity-sonar-pro,4,Y,1,6,slug=/about/
T1-Q5,T1,perplexity-sonar-pro,5,Y,1,6,slug=/about/
T2-Q1,T2,perplexity-sonar-pro,1,N,,9,
T2-Q1,T2,perplexity-sonar-pro,2,N,,9,
T2-Q1,T2,perplexity-sonar-pro,3,N,,9,
T2-Q1,T2,perplexity-sonar-pro,4,N,,9,
T2-Q1,T2,perplexity-sonar-pro,5,N,,9,
T2-Q2,T2,perplexity-sonar-pro,1,N,,9,
T2-Q2,T2,perplexity-sonar-pro,2,N,,9,
T2-Q2,T2,perplexity-sonar-pro,3,N,,9,
T2-Q2,T2,perplexity-sonar-pro,4,N,,9,
T2-Q2,T2,perplexity-sonar-pro,5,N,,9,
T2-Q3,T2,perplexity-sonar-pro,1,N,,7,
T2-Q3,T2,perplexity-sonar-pro,2,N,,8,
T2-Q3,T2,perplexity-sonar-pro,3,N,,7,
T2-Q3,T2,perplexity-sonar-pro,4,N,,8,
T2-Q3,T2,perplexity-sonar-pro,5,N,,8,
T2-Q4,T2,perplexity-sonar-pro,1,N,,7,
T2-Q4,T2,perplexity-sonar-pro,2,N,,7,
T2-Q4,T2,perplexity-sonar-pro,3,N,,7,
T2-Q4,T2,perplexity-sonar-pro,4,N,,7,
T2-Q4,T2,perplexity-sonar-pro,5,N,,7,
T2-Q5,T2,perplexity-sonar-pro,1,N,,7,
T2-Q5,T2,perplexity-sonar-pro,2,N,,8,
T2-Q5,T2,perplexity-sonar-pro,3,N,,8,
T2-Q5,T2,perplexity-sonar-pro,4,N,,8,
T2-Q5,T2,perplexity-sonar-pro,5,N,,8,
